epoch,train_loss,val_loss
1,0.028886,0.021547
2,0.019933,0.019796
3,0.0172,0.015778
4,0.01603,0.014779
5,0.014561,0.014096
6,0.013644,0.017726
7,0.012992,0.012385
8,0.01234,0.011929
9,0.011823,0.011605
10,0.011434,0.011304
11,0.011633,0.011468
12,0.010793,0.010651
13,0.010491,0.010914
14,0.010348,0.010352
15,0.010083,0.010072
16,0.009864,0.009944
17,0.009697,0.009733
18,0.00955,0.009707
19,0.009352,0.009595
20,0.00919,0.009237
21,0.009045,0.009185
22,0.008932,0.009054
23,0.00884,0.008933
24,0.008696,0.008791
25,0.008642,0.008785
26,0.008567,0.008671
27,0.008457,0.008619
28,0.008341,0.008469
29,0.008301,0.008411
30,0.008153,0.008378
31,0.008083,0.008392
32,0.007979,0.008487
33,0.007918,0.008183
34,0.007858,0.008034
35,0.008005,0.008092
36,0.007727,0.007871
37,0.007651,0.007965
38,0.007592,0.007894
39,0.007489,0.007778
40,0.00748,0.007738
41,0.007417,0.007723
42,0.007523,0.00898
43,0.007386,0.00766
44,0.0083,0.007625
45,0.007318,0.007513
46,0.007248,0.00747
47,0.007173,0.007601
48,0.007444,0.007467
49,0.007119,0.007352
50,0.007087,0.007475
