metric,NORMAL,SHUFFLED,NOISE,ZERO,NOISE_minus_NORMAL,pct_NOISE_vs_NORMAL,NOISE_minus_SHUFFLED,pct_NOISE_vs_SHUFFLED,NOISE_minus_ZERO,pct_NOISE_vs_ZERO,ranking_best_to_worst
L1,0.011096,0.028805,0.025016,0.070516,0.01392,125.45061283345349,-0.0037890000000000007,-13.15396632529075,-0.0455,-64.5243632650746,NORMAL > NOISE > SHUFFLED > ZERO
PSNR,34.506577,27.619025,28.883091,20.059747,-5.623486,-16.29685262609502,1.2640659999999997,4.576794437891995,8.823343999999999,43.98532045294488,NORMAL > NOISE > SHUFFLED > ZERO
SSIM,0.896302,0.744967,0.783134,0.546624,-0.11316800000000005,-12.626101470263375,0.03816699999999995,5.123314187071367,0.23651,43.267401358154785,NORMAL > NOISE > SHUFFLED > ZERO
SAM,3.348875,8.735083,7.728708,25.069196,4.379833,130.78520398641334,-1.0063749999999994,-11.521069691037846,-17.340488,-69.17049912569992,NORMAL > NOISE > SHUFFLED > ZERO
LPIPS,0.193985,0.245659,0.23279,0.384811,0.038805000000000006,20.004124030208526,-0.012868999999999992,-5.238562397469661,-0.15202100000000002,-39.50536757005387,NORMAL > NOISE > SHUFFLED > ZERO
FID,31.756464,42.27216,37.703556,117.665443,5.947091999999998,18.727185747128512,-4.5686040000000006,-10.807595353537648,-79.96188699999999,-67.9569846178202,NORMAL > NOISE > SHUFFLED > ZERO
cloud_L1_soft,0.01526,0.037464,0.032834,0.083562,0.017574000000000003,115.16382699868942,-0.004629999999999995,-12.358530856288692,-0.050727999999999995,-60.70701993729206,NORMAL > NOISE > SHUFFLED > ZERO
clear_L1_soft,0.010816,0.02802,0.024315,0.069381,0.013499,124.80584319526629,-0.003705,-13.222698072805139,-0.045065999999999995,-64.95438232369092,NORMAL > NOISE > SHUFFLED > ZERO
cloud_SAM_soft,4.477417,11.063998,9.628073,34.419124,5.150656000000001,115.03632563149691,-1.4359249999999992,-12.978355563694057,-24.791050999999996,-72.02696675255302,NORMAL > NOISE > SHUFFLED > ZERO
clear_SAM_soft,3.273505,8.52446,7.557059,24.322961,4.283554,130.85527591984737,-0.9674009999999997,-11.348531167956677,-16.765902,-68.93034939290493,NORMAL > NOISE > SHUFFLED > ZERO
