metric,NORMAL,ZERO,SHUFFLED,zero_minus_normal,pct_zero_vs_normal,shuffled_minus_normal,pct_shuffled_vs_normal,shuffled_minus_zero,pct_shuffled_vs_zero
L1,0.011096,0.070516,0.028805,0.059419999999999994,535.5082912761355,0.017709000000000003,159.5980533525595,-0.041711,-59.151114640648935
PSNR,34.506577,20.059747,27.619025,-14.446829999999999,-41.86688815874144,-6.8875519999999995,-19.960113690790017,7.559277999999999,37.683815254499464
SSIM,0.896302,0.546624,0.744967,-0.34967800000000004,-39.013412889851864,-0.151335,-16.88437602504513,0.19834300000000005,36.28508810443743
SAM,3.348875,25.069196,8.735083,21.720321000000002,648.5855996416708,5.386208,160.83634056212907,-16.334113000000002,-65.15611031163505
LPIPS,0.193985,0.384811,0.245659,0.19082600000000002,98.37152357141018,0.051674,26.638142124391063,-0.13915200000000003,-36.1611284500703
FID,31.756464,117.665443,42.27216,85.90897899999999,270.52438520863024,10.515695999999998,33.11356075411922,-75.393283,-64.07427795091886
cloud_L1_soft,0.01526,0.083562,0.037464,0.068302,447.58846657929234,0.022203999999999998,145.5045871559633,-0.046098,-55.1662238816687
clear_L1_soft,0.010816,0.069381,0.02802,0.058565,541.4663461538462,0.017204,159.06065088757398,-0.041360999999999995,-59.61430362779435
cloud_SAM_soft,4.477417,34.419124,11.063998,29.941706999999997,668.7272371548148,6.586581,147.10671353595166,-23.355126,-67.85508544610259
clear_SAM_soft,3.273505,24.322961,8.52446,21.049456,643.0250144722553,5.250954999999999,160.40772810794542,-15.798501,-64.9530334731861
