epoch,train_loss,val_loss
1,0.031604,0.024352
2,0.022844,0.021483
3,0.020072,0.018496
4,0.018228,0.018875
5,0.016507,0.015619
6,0.015337,0.014909
7,0.014346,0.01416
8,0.013699,0.013437
9,0.01305,0.012903
10,0.012711,0.012537
11,0.012343,0.012198
12,0.011928,0.012354
13,0.011656,0.011484
14,0.011321,0.011386
15,0.011049,0.010991
16,0.010872,0.011185
17,0.010645,0.010777
18,0.01051,0.010538
19,0.010304,0.010462
20,0.010103,0.010356
21,0.009952,0.01015
22,0.009802,0.009863
23,0.009711,0.00987
24,0.009544,0.009723
25,0.009424,0.009625
26,0.0093,0.009485
27,0.009194,0.009405
28,0.009145,0.009481
29,0.009027,0.009182
30,0.008917,0.009321
31,0.008819,0.009022
32,0.008944,0.009017
33,0.008683,0.008888
34,0.008692,0.008901
35,0.008561,0.008825
36,0.008506,0.008773
37,0.008686,0.025947
38,0.009397,0.00872
39,0.008324,0.008566
40,0.008295,0.008584
41,0.008246,0.008618
42,0.008136,0.008457
43,0.008082,0.008385
44,0.008061,0.008463
45,0.00795,0.008336
46,0.00795,0.00836
47,0.007873,0.009782
48,0.007873,0.008341
49,0.007808,0.008061
50,0.007752,0.007967
