epoch,train_loss,val_loss
1,0.030724,0.022678
2,0.020962,0.020435
3,0.018359,0.016607
4,0.016403,0.015489
5,0.015162,0.014337
6,0.01414,0.013449
7,0.013326,0.013796
8,0.012641,0.012354
9,0.012152,0.011747
10,0.011681,0.011829
11,0.01129,0.011215
12,0.011006,0.010938
13,0.010649,0.010744
14,0.010439,0.010392
15,0.010206,0.010289
16,0.010078,0.010258
17,0.009777,0.009906
18,0.009616,0.00991
19,0.009456,0.009661
20,0.009309,0.009465
21,0.009207,0.009231
22,0.009039,0.009147
23,0.008907,0.009136
24,0.008888,0.009418
25,0.008839,0.008815
26,0.008635,0.008762
27,0.008514,0.00873
28,0.008483,0.008631
29,0.008354,0.008565
30,0.008262,0.008588
31,0.008155,0.008412
32,0.008084,0.008398
33,0.008052,0.008154
34,0.008034,0.008179
35,0.007923,0.008105
36,0.007853,0.008194
37,0.007805,0.00816
38,0.007724,0.00795
39,0.00768,0.007994
40,0.007649,0.00788
41,0.007578,0.007831
42,0.008112,0.008185
43,0.00763,0.007886
44,0.007478,0.007677
45,0.007423,0.007697
46,0.007371,0.00791
47,0.007352,0.007567
48,0.007306,0.008361
49,0.007288,0.007557
50,0.007209,0.007849
